start_station,end_station,occurrences
Tjuvholmen,Frognerstranda,1459
Frognerstranda,Tjuvholmen,1341
Sukkerbiten,Sjoesiden ved trappen,1297
Saga Kino,Aker Brygge,1057
Saga Kino,Tjuvholmen,968
Sjoesiden ved trappen,Sukkerbiten,879
Vippetangen vest,Sjoesiden ved trappen,848
Sjoesiden ved trappen,Vippetangen vest,838
Kvaernerbyen,Sjoesiden ved trappen,809
Aker Brygge,Saga Kino,769
Olaf Ryes plass,Torggata,759
Jernbanetorget,Vippetangen vest,725
Tjuvholmen,Saga Kino,724
Aker Brygge,Aker Brygge,712
Kvaernerbyen,Bjoervika,661
Hammersborg Torg,Aker Brygge,644
Norsk Folkemuseum,Norsk Folkemuseum,641
Toeyen skole,Jens Bjelkes Gate,637
Ringnes Park,Alexander Kiellands Plass,582
Torggata,Olaf Ryes plass,571
Frogner plass,Frogner plass,565
St. Olavs gate,Aker Brygge,563
Alexander Kiellands Plass,Torggata,561
Botanisk Hage soer,Jens Bjelkes Gate,556
Lakkegata,Vaterlandsparken,553
Frognerstranda,Filipstadveien,551
Helga Helgesens plass,Sentrum Scene,547
Sjoesiden ved trappen,Sjoesiden ved trappen,541
Sukkerbiten,Sukkerbiten,528
Sukkerbiten,Paléhaven,517
Oslo Hospital,Bjoervika,516
Olaf Ryes plass,Aker Brygge,516
Jens Bjelkes Gate,Botanisk Hage soer,508
Sjoesiden ved trappen,Aker Brygge,505
Paléhaven,Sukkerbiten,504
Olaf Ryes plass,Kirkeristen,498
Oslo Hospital,Sjoesiden ved trappen,498
Aker Brygge,Sjoesiden ved trappen,489
Soendre gate,Kirkeristen,488
Schous plass,Torggata,482
Jess Carlsens gate,Helga Helgesens plass,479
Sjoesiden ved trappen,Vippetangen oest,479
Sommerfrydhagen,Jens Bjelkes Gate,472
Rostockgata,Sjoesiden ved trappen,472
Saga Kino,Vippetangen vest,471
Tjuvholmen,Tjuvholmen,461
Karenslyst allé,Karenslyst allé,461
Kirkeristen,Olaf Ryes plass,461
AHO,Hammersborg Torg,451
Sofienbergparken nord,Toeyen skole,444
Olaf Ryes plass,Olaf Ryes plass,443
Bjoervika,Kvaernerbyen,436
Vippetangen oest,Sjoesiden ved trappen,434
Ringnes Park,Olaf Ryes plass,429
Oslo Plaza,Lakkegata,429
Alexander Kiellands Plass,Ringnes Park,428
Sukkerbiten,Aker Brygge,426
Aker Brygge,Sukkerbiten,423
Jakob kirke,Olaf Ryes plass,420
Vaar Frelsers gravlund,Akersgata,418
Bankplassen,Aker Brygge,418
Groenlands torg,Munkegata,418
Toeyen skole,Sommerfrydhagen,416
Majorstuen,Bogstadveien,411
Aker Brygge,Bankplassen,405
Helga Helgesens plass,Helga Helgesens plass,404
Kontraskjaeret,Aker Brygge,404
AHO,Torggata,401
Lille Grensen,Aker Brygge,400
Toeyen skole,Botanisk Hage soer,395
Jernbanetorget,Olaf Ryes plass,388
Aker Brygge,Kirkeristen,387
Akerselvallmenningen,Aker Brygge,386
Saga Kino,Dokkveien,385
Jernbanetorget,Sukkerbiten,385
Hydroparken,Skillebekk,385
Filipstadveien,Frognerstranda,382
Toeyen skole,Botanisk hage soer-vest,382
Marcus Thranes gate,Ringnes Park,381
Vulkan,Vulkan,381
Rostockgata,Rostockgata,380
Soendre gate,Torggata,380
Jess Carlsens gate,The Hub,377
Aker Brygge,Akerselvallmenningen,377
Alexander Kiellands Plass,Olaf Ryes plass,375
Alexander Kiellands Plass,Linaaes gate,375
Dyvekes bru,Sjoesiden ved trappen,372
Sommerfrydhagen,Toeyen skole,371
Helga Helgesens plass,The Hub,371
Kirkeristen,Soendre gate,370
Torggata,Torggata,369
Kvaernerbyen,Trelastgata,369
Aker Brygge,Vippetangen vest,369
Jens Bjelkes Gate,Toeyen skole,369
Helga Helgesens plass,Munkegata,368
Botanisk Hage soer,Schous plass,366
Sofienbergparken nordvest,Aker Brygge,365
Domus Athletica,Sognsveien,364
Schous plass trikkestopp,Botanisk Hage soer,361
Sukkerbiten,Sjoesiden ved fontenen,360
Olaf Ryes plass,Jernbanetorget,359
Olaf Ryes plass,The Hub,359
Bjoervika,Aker Brygge,358
Sofienbergparken nordvest,Toeyen skole,358
AHO,Linaaes gate,358
Hallings gate,Alexander Kiellands Plass,357
Helga Helgesens plass,Vaterlandsparken,356
Salt,Aker Brygge,352
Jens Bjelkes Gate,The Hub,352
Sofienbergparken nordvest,Helga Helgesens plass,350
Ringnes Park,Torggata,350
Alexander Kiellands Plass,Hammersborg Torg,349
Dokkveien,Sjoesiden ved trappen,349
